2025-08-30 10:03:04 |  WARNING | ⚠️  Error extrayendo propiedad 27: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:04 |     INFO | ✅ Extraídas 0 propiedades válidas
2025-08-30 10:03:04 |     INFO | 📊 Progreso - Página: 3 | Propiedades: 0 | Total: 0 | Tiempo: 9.2s/página
2025-08-30 10:03:06 |     INFO | 📄 Procesando página 4: https://www.inmuebles24.com/departamentos-en-venta-en-zapopan.html?pagina=4
2025-08-30 10:03:12 |     INFO | ✅ Página cargada correctamente - 27 propiedades detectadas
2025-08-30 10:03:12 |     INFO | 🏠 Encontrados 27 property cards en la página
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 1: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 2: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 3: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 4: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 5: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 6: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 7: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 8: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
2025-08-30 10:03:12 |  WARNING | ⚠️  Error extrayendo propiedad 9: 'Inmuebles24ProfessionalScraper' object has no attribute 'operation_type'
